chain,token_symbol,token_address,price_usd,price_change_pct,netflow_usd,market_cap_usd,flow_mcap_ratio,bucket,volume_usd,liquidity_usd,token_age_days
ethereum,CDXR,0x40aaf75454036bed56f3266ccf18f6b7befd6aca,0.020180433902334,-0.058208610090323736,412131.6194107813,33729028.7040088,0.012218899720696615,early,412131.6194107813,2836325.670113879,72.0
solana,CATE,Ai66LHZG9MCzg1WKdawwqduVAXpNDUuV8M3uyq5ppump,0.018397783621317877,17.167813400842327,43477.21428720788,17616893.9507943,0.002467927343415018,momentum,44356.18550995297,588226.6092511985,21.0
solana,BUTTCOIN,Cm6fNnMk7NfzStP9CZpsQA2v3jjzbcYGAxdJySmHpump,0.01036692377018707,6.676219880547532,20721.25374980042,10315354.2687449,0.002008777712325884,middle,20721.25374980042,586378.4102961664,219.0
base,INSTAPY,0xadfd49bbe91a530b8fd81e983b20ae8b56834bc1,0.00578841952123171,-18.737245368996103,15942.125705543542,5819122.69069542,0.0027396098265868255,early,16346.574293774567,103487.74387067449,157.0
solana,TOAD,A13oRB9FFaiUjfi6LdCg6p9ka1u8SfGkUFs4SKvPpump,0.006961107356129826,-14.44676128063035,15840.557576656207,6801824.64329852,0.002328868856133049,early,36798.79839102992,351701.194409072,8.0
bnb,币有,0xe9337dde3dd9e97f1f45a56412767ce5098e7777,0.00529871220914888,5.315809143149723,15827.608636438865,5208820.85668171,0.003038616430076629,middle,54472.47441595583,216284.09997767172,19.0
solana,MANLET,HxQhDGYqyjorgogMJx7YbBHADEDxuHhLnMMmr6VYpyn,0.003270061193925064,-18.69234571177418,12718.731838713322,3270695.04258555,0.003888693893227939,early,18462.344943189448,256777.203812924,11.0
base,GITHUB1S,0xadf0d9fc1751e91c2b746746a0a075cd8f708d2b,0.0176807980713382,69.02831697847556,12062.118128930457,17532562.622923,0.0006879837470627257,momentum,16087.579167064245,183459.02542232355,157.0
base,CHEAT.SH,0xadfd54cb2997d3a0077f0aafbd8ebbf9ac10b99c,0.00932346319952922,28.445330238953563,10599.232077900018,9325420.00667191,0.0011365956782983238,momentum,11934.833166333447,129599.00751895338,158.0
base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,0.00779941249019931,-27.43615194573869,8786.022479232748,7883698.08513757,0.0011144544583456652,early,8799.631806707532,123110.38460183535,158.0
bnb,RAVE,0x97693439ea2f0ecdeb9135881e49f354656a911c,0.274450811841853,-0.6714355084452306,7564.4442596582085,69383585.2887038,0.0001090235425019145,early,7564.4442596582085,955062.4092182722,301.0
bnb,GULD,0x14d6c649292c5c9790c5196d1a9ea039307947a1,0.0244886663936877,1.969300162037603,6476.702347759097,33060208.9957394,0.00019590627356874167,early,13269.487531280278,64226.25999607549,136.0
